nctid,restart_date,restart_status
NCT04148287,2023-03-31,COMPLETED
NCT04196517,NA,NA
NCT03113409,NA,NA
NCT03451773,NA,NA
NCT02112565,2023-03-17,ACTIVE_NOT_RECRUITING
NCT04029545,NA,NA
NCT02189213,NA,NA
NCT02228382,NA,NA
NCT02685267,NA,NA
NCT03517722,NA,NA
NCT03554200,NA,NA
NCT03622866,NA,NA
NCT03673735,NA,NA
NCT04066738,NA,NA
NCT04353037,NA,NA
NCT04498247,NA,NA
NCT00326690,NA,NA
NCT00634634,2023-05-03,ACTIVE_NOT_RECRUITING
NCT03167281,NA,NA
NCT04076917,NA,NA
NCT04210141,NA,NA
NCT04270929,NA,NA
NCT04548882,NA,NA
NCT02111824,NA,NA
NCT03548051,NA,NA
NCT03575572,NA,NA
NCT03682094,NA,NA
NCT04377620,NA,NA
NCT04794803,NA,NA
NCT00059202,NA,NA
NCT02468778,NA,NA
NCT03487848,NA,NA
NCT03589963,NA,NA
NCT04298918,NA,NA
NCT04276610,NA,NA
NCT03430791,NA,NA
NCT04084795,NA,NA
NCT04193293,NA,NA
NCT04802928,NA,NA
NCT02758184,NA,NA
NCT03251417,NA,NA
NCT03320785,NA,NA
NCT03465540,NA,NA
NCT03803722,NA,NA
NCT03869710,NA,NA
NCT04678128,NA,NA
NCT02764476,NA,NA
NCT03634800,NA,NA
NCT04057391,NA,NA
NCT04806529,NA,NA
NCT02431364,NA,NA
NCT03958929,NA,NA
NCT04447404,NA,NA
NCT01305499,2023-05-08,ACTIVE_NOT_RECRUITING
NCT01996371,NA,NA
NCT02419846,NA,NA
NCT02572453,NA,NA
NCT03060772,NA,NA
NCT03390530,NA,NA
NCT03392064,NA,NA
NCT02965014,NA,NA
NCT03094169,NA,NA
NCT03550313,NA,NA
NCT03572062,NA,NA
NCT04061304,NA,NA
NCT04196114,NA,NA
NCT04810949,NA,NA
NCT02579265,NA,NA
NCT02864290,NA,NA
NCT03451253,NA,NA
NCT03589976,NA,NA
NCT03836911,2023-06-27,RECRUITING
NCT04000009,NA,NA
NCT04632199,NA,NA
NCT01921062,NA,NA
NCT02178046,NA,NA
NCT02466243,NA,NA
NCT03078465,NA,NA
NCT03398837,NA,NA
NCT03425461,NA,NA
NCT03518294,2023-01-31,COMPLETED
NCT04447508,NA,NA
NCT03849456,NA,NA
NCT04524858,NA,NA
NCT04001413,NA,NA
NCT02077621,NA,NA
NCT03969095,NA,NA
NCT03587519,NA,NA
NCT03701165,NA,NA
NCT03709550,NA,NA
NCT04432298,NA,NA
NCT03205553,NA,NA
NCT03296085,NA,NA
NCT03366792,NA,NA
NCT03625765,NA,NA
NCT02484261,NA,NA
NCT03823703,NA,NA
NCT04166448,NA,NA
NCT04175912,2023-03-23,ACTIVE_NOT_RECRUITING
NCT03137537,NA,NA
NCT02263508,NA,NA
NCT03494868,NA,NA
NCT04084015,NA,NA
NCT04112173,NA,NA
NCT04165473,NA,NA
NCT04835571,2022-12-07,COMPLETED
NCT02357719,NA,NA
NCT03491007,NA,NA
NCT03574194,NA,NA
NCT04838431,NA,NA
NCT01456208,NA,NA
NCT01511042,NA,NA
NCT04748783,NA,NA
NCT04762771,NA,NA
NCT02325349,NA,NA
NCT02769351,NA,NA
NCT02896387,NA,NA
NCT03349775,NA,NA
NCT03379272,NA,NA
NCT03445000,NA,NA
NCT01234480,NA,NA
NCT03259334,NA,NA
NCT03355326,NA,NA
NCT03933020,NA,NA
NCT03880565,NA,NA
NCT02323113,NA,NA
NCT02932579,NA,NA
NCT03195764,NA,NA
NCT03399578,NA,NA
NCT03998033,NA,NA
NCT04155840,NA,NA
NCT04350762,NA,NA
NCT04504032,NA,NA
NCT03118349,NA,NA
NCT02204709,NA,NA
NCT02639988,NA,NA
NCT02686320,NA,NA
NCT02761694,NA,NA
NCT02802553,2023-07-24,RECRUITING
NCT03386344,NA,NA
NCT03912350,NA,NA
NCT03954106,NA,NA
NCT04015336,NA,NA
NCT04115839,NA,NA
NCT04454567,NA,NA
NCT04604184,NA,NA
NCT01011114,NA,NA
NCT03195465,NA,NA
NCT04174677,NA,NA
NCT02634905,NA,NA
NCT03369717,NA,NA
NCT04151368,NA,NA
NCT04209725,NA,NA
NCT04361058,NA,NA
NCT04712006,NA,NA
NCT02034461,NA,NA
NCT04338074,NA,NA
NCT04002388,NA,NA
NCT04381988,NA,NA
NCT02851004,NA,NA
NCT04049617,NA,NA
NCT04226976,NA,NA
NCT02798900,NA,NA
NCT03285646,NA,NA
NCT03344770,NA,NA
NCT03694704,NA,NA
NCT03734744,NA,NA
NCT03934619,NA,NA
NCT04026451,NA,NA
NCT04059042,NA,NA
NCT04421508,NA,NA
NCT04555122,NA,NA
NCT02820441,NA,NA
NCT02890212,NA,NA
NCT02922725,NA,NA
NCT03240978,NA,NA
NCT03710161,NA,NA
NCT03724422,NA,NA
NCT03999359,NA,NA
NCT04000581,NA,NA
NCT04159038,NA,NA
NCT04261556,NA,NA
NCT01758991,NA,NA
NCT02814019,NA,NA
NCT03618095,NA,NA
NCT04095546,NA,NA
NCT04309734,NA,NA
NCT04629209,2023-05-08,NOT_YET_RECRUITING
NCT01983462,NA,NA
NCT02523716,NA,NA
NCT03050554,NA,NA
NCT03087747,NA,NA
NCT03131635,NA,NA
NCT03220438,NA,NA
NCT03866668,NA,NA
NCT04344535,NA,NA
NCT04655807,NA,NA
NCT01434472,NA,NA
NCT02695160,NA,NA
NCT03207815,NA,NA
NCT03334409,NA,NA
NCT03711162,NA,NA
NCT03733444,NA,NA
NCT04035109,NA,NA
NCT04050176,2023-11-03,ACTIVE_NOT_RECRUITING
NCT04630639,NA,NA
NCT04762511,NA,NA
NCT04869241,NA,NA
NCT04252547,NA,NA
NCT03294941,NA,NA
NCT03954704,NA,NA
NCT03976648,NA,NA
NCT04420364,NA,NA
NCT04874675,NA,NA
NCT01387932,NA,NA
NCT03365752,NA,NA
NCT04131959,NA,NA
NCT03208244,NA,NA
NCT03780387,NA,NA
NCT03971617,NA,NA
NCT04331561,NA,NA
NCT04880369,NA,NA
NCT03379259,NA,NA
NCT03615469,NA,NA
NCT03863522,NA,NA
NCT04468789,NA,NA
NCT04882423,NA,NA
NCT02650284,NA,NA
NCT03650140,2023-01-05,COMPLETED
NCT03807349,NA,NA
NCT03870477,NA,NA
NCT04075721,NA,NA
NCT04103775,NA,NA
NCT04611776,NA,NA
NCT04840927,NA,NA
NCT03528512,NA,NA
NCT03986944,NA,NA
NCT04372121,NA,NA
NCT04441788,NA,NA
NCT04636268,NA,NA
NCT01875770,NA,NA
NCT02122185,NA,NA
NCT03049111,NA,NA
NCT03123588,NA,NA
NCT03395288,NA,NA
NCT04418024,NA,NA
NCT03543046,NA,NA
NCT04607200,NA,NA
NCT02319369,NA,NA
NCT03508479,NA,NA
NCT03552029,NA,NA
NCT03780543,NA,NA
NCT03924063,NA,NA
NCT04052061,NA,NA
NCT04893473,NA,NA
NCT02930343,NA,NA
NCT03231397,NA,NA
NCT04003818,NA,NA
NCT04266457,NA,NA
NCT02722616,NA,NA
NCT03099499,NA,NA
NCT03463889,NA,NA
NCT03713021,NA,NA
NCT04277936,NA,NA
NCT04566926,NA,NA
NCT04598152,NA,NA
NCT04896567,NA,NA
NCT02773966,NA,NA
NCT03921801,2023-04-21,RECRUITING
NCT04466917,NA,NA
NCT01700569,NA,NA
NCT01727336,NA,NA
NCT03603288,NA,NA
NCT03937908,NA,NA
NCT04400890,NA,NA
NCT04678505,NA,NA
NCT02225275,NA,NA
NCT03112902,NA,NA
NCT03364738,NA,NA
NCT03513068,NA,NA
NCT04115748,NA,NA
NCT04373044,NA,NA
NCT04389840,NA,NA
NCT00490776,NA,NA
NCT04155190,NA,NA
NCT04221828,NA,NA
NCT04409886,NA,NA
NCT02948426,NA,NA
NCT03201250,NA,NA
NCT01981044,NA,NA
NCT03555851,2023-07-13,RECRUITING
NCT03582085,NA,NA
NCT03857841,NA,NA
NCT03921216,NA,NA
NCT03938337,NA,NA
NCT04043455,NA,NA
NCT04349605,NA,NA
NCT04698993,NA,NA
NCT04625218,NA,NA
NCT04762901,NA,NA
NCT02781506,NA,NA
NCT02906020,NA,NA
NCT04264806,NA,NA
NCT02572856,2022-12-15,COMPLETED
NCT02908490,NA,NA
NCT03525392,NA,NA
NCT03557944,2023-03-14,RECRUITING
NCT04501952,NA,NA
NCT04570995,NA,NA
NCT04770467,NA,NA
NCT02202434,NA,NA
NCT03041324,NA,NA
NCT04033562,NA,NA
NCT03208127,NA,NA
NCT03318523,NA,NA
NCT03437031,NA,NA
NCT03478163,NA,NA
NCT03691532,2023-04-27,RECRUITING
NCT04607772,NA,NA
NCT04135547,2023-10-19,COMPLETED
NCT04605588,NA,NA
NCT03049215,NA,NA
NCT04137887,NA,NA
NCT04235218,NA,NA
NCT02562534,NA,NA
NCT03367494,NA,NA
NCT03911336,NA,NA
NCT04085848,NA,NA
NCT04487808,NA,NA
NCT01067430,NA,NA
NCT03566485,NA,NA
NCT03586544,NA,NA
NCT03638947,NA,NA
NCT04929340,NA,NA
NCT03488251,NA,NA
NCT03645395,NA,NA
NCT04109807,NA,NA
NCT04801056,NA,NA
NCT02583672,2022-12-15,RECRUITING
NCT04228666,NA,NA
NCT02427581,NA,NA
NCT04511650,NA,NA
NCT02934503,NA,NA
NCT03225833,NA,NA
NCT03225846,NA,NA
NCT03593213,NA,NA
NCT03630952,NA,NA
NCT04191382,NA,NA
NCT04287790,NA,NA
NCT04526912,NA,NA
NCT04617847,NA,NA
NCT04617860,NA,NA
NCT03577899,NA,NA
NCT03696576,NA,NA
NCT04502927,NA,NA
NCT02882334,NA,NA
NCT04258514,NA,NA
NCT03520751,NA,NA
NCT04600882,NA,NA
NCT00449761,NA,NA
NCT00451035,NA,NA
NCT02702492,NA,NA
NCT02784431,NA,NA
NCT03581084,NA,NA
NCT03893565,NA,NA
NCT03960541,NA,NA
NCT04348656,NA,NA
NCT04511026,NA,NA
NCT04873726,NA,NA
NCT03134989,NA,NA
NCT04025021,NA,NA
NCT04051957,NA,NA
NCT04878874,NA,NA
NCT03548064,NA,NA
NCT04322396,NA,NA
NCT03506048,NA,NA
NCT04172909,NA,NA
NCT00449007,NA,NA
NCT03599362,NA,NA
NCT04610489,NA,NA
NCT04946162,NA,NA
NCT03595683,NA,NA
NCT03621319,NA,NA
NCT04956250,NA,NA
NCT01546571,NA,NA
NCT02460874,NA,NA
NCT03131453,NA,NA
NCT03320876,NA,NA
NCT03595072,NA,NA
NCT03782064,NA,NA
NCT03917355,NA,NA
NCT04025632,NA,NA
NCT04464148,NA,NA
NCT03519360,NA,NA
NCT03574103,2023-09-11,RECRUITING
NCT03690739,NA,NA
NCT04006847,NA,NA
NCT04079881,NA,NA
NCT04860635,NA,NA
NCT02700048,NA,NA
NCT03515551,NA,NA
NCT04883112,NA,NA
NCT02102165,NA,NA
NCT04680676,NA,NA
NCT04954261,NA,NA
NCT03717480,NA,NA
NCT03836716,NA,NA
NCT04422210,NA,NA
NCT02855164,NA,NA
NCT03988647,NA,NA
NCT04543526,NA,NA
NCT04912180,NA,NA
NCT04957732,NA,NA
NCT04966065,NA,NA
NCT01365195,NA,NA
NCT03594955,NA,NA
NCT03629275,NA,NA
NCT03630393,NA,NA
NCT04540510,NA,NA
NCT04655703,NA,NA
NCT04662567,NA,NA
NCT01128816,NA,NA
NCT03537157,NA,NA
NCT04207268,NA,NA
NCT04555096,NA,NA
NCT04918511,NA,NA
NCT04960956,NA,NA
NCT03383666,NA,NA
NCT04697953,NA,NA
NCT02570503,NA,NA
NCT02737293,NA,NA
NCT03019588,NA,NA
NCT03838484,NA,NA
NCT04373252,NA,NA
NCT04442230,NA,NA
NCT01256710,NA,NA
NCT02953613,NA,NA
NCT04020094,NA,NA
NCT04447443,NA,NA
NCT00006046,NA,NA
NCT02490878,NA,NA
NCT04326439,NA,NA
NCT04372641,NA,NA
NCT04577144,NA,NA
NCT04734873,NA,NA
NCT04793711,NA,NA
NCT04803630,NA,NA
NCT03480724,2023-05-29,RECRUITING
NCT03217838,NA,NA
NCT03462563,NA,NA
NCT04405050,NA,NA
NCT00006099,NA,NA
NCT01901055,NA,NA
NCT03325166,NA,NA
NCT03861728,NA,NA
NCT03882645,NA,NA
NCT04735510,NA,NA
NCT02376647,NA,NA
NCT02834793,NA,NA
NCT04705051,NA,NA
NCT02974803,NA,NA
NCT03089697,NA,NA
NCT04325698,NA,NA
NCT04894474,NA,NA
NCT03885154,NA,NA
NCT04435795,NA,NA
NCT03871231,NA,NA
NCT02157532,NA,NA
NCT03367429,NA,NA
NCT03410355,NA,NA
NCT03983941,NA,NA
NCT04331483,NA,NA
NCT03381833,NA,NA
NCT04545008,NA,NA
NCT01958593,NA,NA
NCT03560102,NA,NA
NCT04285697,NA,NA
NCT04532424,NA,NA
NCT04638634,NA,NA
NCT04958967,NA,NA
NCT01986348,NA,NA
NCT03633227,NA,NA
NCT03641937,NA,NA
NCT03699826,NA,NA
NCT03751449,NA,NA
NCT04909463,NA,NA
NCT04996420,NA,NA
NCT02521753,NA,NA
NCT03071094,NA,NA
NCT03401749,NA,NA
NCT03441503,NA,NA
NCT03866577,NA,NA
NCT04484428,NA,NA
NCT02919072,NA,NA
NCT04252586,NA,NA
NCT04262947,NA,NA
NCT04511819,NA,NA
NCT04748120,NA,NA
NCT04750759,NA,NA
NCT00816582,NA,NA
NCT03928015,NA,NA
NCT03984448,2023-12-15,ACTIVE_NOT_RECRUITING
NCT04614142,NA,NA
NCT03052400,NA,NA
NCT04105257,2022-12-08,COMPLETED
NCT04537806,NA,NA
NCT03098355,NA,NA
NCT03714880,NA,NA
NCT03912337,NA,NA
NCT04034225,NA,NA
NCT04950374,NA,NA
NCT02663271,NA,NA
NCT02978885,NA,NA
NCT03523728,NA,NA
NCT03980938,NA,NA
NCT04312763,NA,NA
NCT02811094,NA,NA
NCT04390191,NA,NA
NCT04402515,NA,NA
NCT04541628,NA,NA
NCT02393716,NA,NA
NCT04811131,NA,NA
NCT02649673,NA,NA
NCT03238651,NA,NA
NCT03242772,NA,NA
NCT04258423,NA,NA
NCT01876953,NA,NA
NCT03194750,2023-09-07,COMPLETED
NCT03563742,NA,NA
NCT03689582,NA,NA
NCT03787095,NA,NA
NCT02213042,NA,NA
NCT04575285,NA,NA
NCT01873833,NA,NA
NCT04475601,NA,NA
NCT04025983,NA,NA
NCT04115384,NA,NA
NCT04307628,NA,NA
NCT05017961,NA,NA
NCT02945280,NA,NA
NCT04048863,NA,NA
NCT04833959,NA,NA
NCT05022394,NA,NA
NCT05030532,NA,NA
NCT03531320,2023-06-07,COMPLETED
NCT03739138,NA,NA
NCT03835728,NA,NA
NCT02751502,NA,NA
NCT05026801,NA,NA
NCT02696759,NA,NA
NCT03971357,NA,NA
NCT02361346,NA,NA
NCT03316118,NA,NA
NCT03723915,NA,NA
NCT04049175,NA,NA
NCT03356496,NA,NA
NCT04332107,NA,NA
NCT04423848,NA,NA
NCT04557384,NA,NA
NCT04811573,NA,NA
NCT05038384,NA,NA
NCT03090412,NA,NA
NCT03442400,NA,NA
NCT04150094,NA,NA
NCT04272203,NA,NA
NCT04308395,NA,NA
NCT04444466,NA,NA
NCT01779050,NA,NA
NCT02964741,NA,NA
NCT03019107,NA,NA
NCT03538444,NA,NA
NCT04365985,NA,NA
NCT04469881,NA,NA
NCT04575584,NA,NA
NCT03278366,NA,NA
NCT03781830,NA,NA
NCT03938272,NA,NA
NCT04164043,NA,NA
NCT05037019,NA,NA
NCT04868435,2023-05-08,COMPLETED
NCT02910973,NA,NA
NCT03237910,NA,NA
NCT05036837,2022-11-09,COMPLETED
NCT02288377,NA,NA
NCT03365076,NA,NA
NCT03660423,NA,NA
NCT04987996,NA,NA
NCT02524379,NA,NA
NCT03369587,NA,NA
NCT03966404,2023-09-05,COMPLETED
NCT04219475,NA,NA
NCT04746560,NA,NA
NCT05050721,NA,NA
NCT04973618,NA,NA
NCT03623763,NA,NA
NCT03634072,NA,NA
NCT03738800,NA,NA
NCT04045353,NA,NA
NCT04434560,NA,NA
NCT04538430,NA,NA
NCT04240574,NA,NA
NCT04408040,NA,NA
NCT04476589,2023-04-03,COMPLETED
NCT03655080,NA,NA
NCT03894345,NA,NA
NCT04025580,2023-02-02,COMPLETED
NCT04073147,NA,NA
NCT04130698,NA,NA
NCT04652765,NA,NA
NCT04659278,NA,NA
NCT04369469,NA,NA
NCT04601103,NA,NA
NCT04567225,NA,NA
NCT04611074,NA,NA
NCT04445090,NA,NA
NCT02315196,2023-03-28,ACTIVE_NOT_RECRUITING
NCT04269031,2023-01-05,COMPLETED
NCT03445533,NA,NA
NCT03776357,NA,NA
NCT03857867,NA,NA
NCT03927222,NA,NA
NCT04372017,NA,NA
NCT04469374,NA,NA
NCT04558125,NA,NA
NCT05063513,NA,NA
NCT01894646,NA,NA
NCT02969824,NA,NA
NCT04705844,NA,NA
NCT03984305,NA,NA
NCT04151706,NA,NA
NCT04388683,NA,NA
NCT04404361,NA,NA
NCT04732767,NA,NA
NCT03678948,NA,NA
NCT04344600,NA,NA
NCT03344978,NA,NA
NCT03344991,NA,NA
NCT03401710,NA,NA
NCT03689894,NA,NA
NCT03790436,NA,NA
NCT03819543,NA,NA
NCT04297904,NA,NA
NCT04365478,NA,NA
NCT02867644,NA,NA
NCT02901548,NA,NA
NCT03369444,NA,NA
NCT03802461,NA,NA
NCT04218019,NA,NA
NCT04489628,NA,NA
NCT04539509,NA,NA
NCT02586519,NA,NA
NCT02698189,NA,NA
NCT03586687,NA,NA
NCT03817606,NA,NA
NCT02683941,NA,NA
NCT03050060,NA,NA
NCT04671355,NA,NA
NCT03149549,NA,NA
NCT03352557,NA,NA
NCT03853317,NA,NA
NCT00589316,NA,NA
NCT02734615,NA,NA
NCT04343976,NA,NA
NCT04502472,NA,NA
NCT03671525,2023-06-22,COMPLETED
NCT03682601,NA,NA
NCT04003610,NA,NA
NCT04591925,NA,NA
NCT03825796,2023-09-26,ACTIVE_NOT_RECRUITING
NCT04858620,NA,NA
NCT03172936,NA,NA
NCT03739645,2023-05-01,RECRUITING
NCT02454517,NA,NA
NCT04073966,2023-03-14,RECRUITING
NCT04099290,2023-02-07,RECRUITING
NCT04565249,NA,NA
NCT03218683,NA,NA
NCT03382041,NA,NA
NCT03497507,NA,NA
NCT03581513,NA,NA
NCT04292275,NA,NA
NCT02864368,NA,NA
NCT02991027,NA,NA
NCT03352427,NA,NA
NCT03966053,NA,NA
NCT03382769,NA,NA
NCT03644550,NA,NA
NCT03723590,NA,NA
NCT03843489,NA,NA
NCT03943550,NA,NA
NCT04470622,NA,NA
NCT03372941,NA,NA
NCT03722966,NA,NA
NCT04965272,NA,NA
NCT04930705,NA,NA
NCT02618980,NA,NA
NCT02804087,NA,NA
NCT02805517,NA,NA
NCT02826512,NA,NA
NCT03643822,2023-04-24,ACTIVE_NOT_RECRUITING
NCT03922620,NA,NA
NCT04415151,NA,NA
NCT05087524,NA,NA
NCT03597035,NA,NA
NCT03782168,NA,NA
NCT03866538,NA,NA
NCT04048876,NA,NA
NCT03632252,NA,NA
NCT04151446,NA,NA
NCT04501094,NA,NA
NCT04648826,NA,NA
NCT05102331,NA,NA
NCT03905434,NA,NA
NCT04181606,NA,NA
NCT04448834,NA,NA
NCT00540995,NA,NA
NCT03788980,NA,NA
NCT04936113,NA,NA
NCT03645603,NA,NA
NCT03287050,NA,NA
NCT02408887,NA,NA
NCT03759041,NA,NA
NCT03781817,NA,NA
NCT04457817,NA,NA
NCT02359864,NA,NA
NCT04254809,NA,NA
NCT05111054,NA,NA
NCT02006069,NA,NA
NCT03943147,NA,NA
NCT04073472,NA,NA
NCT04472494,NA,NA
NCT04488185,NA,NA
NCT04488575,NA,NA
NCT03504410,NA,NA
NCT03727841,NA,NA
NCT03845504,NA,NA
NCT04096703,NA,NA
NCT02688309,NA,NA
NCT02846883,NA,NA
NCT03286426,NA,NA
NCT04997161,NA,NA
NCT00659126,NA,NA
NCT02023905,NA,NA
NCT02723708,2023-08-17,COMPLETED
NCT02815124,NA,NA
NCT03057678,NA,NA
NCT03515226,NA,NA
NCT03963011,NA,NA
NCT04222829,NA,NA
NCT04482699,NA,NA
NCT05020691,NA,NA
NCT03188822,NA,NA
NCT03684304,NA,NA
NCT03923049,NA,NA
NCT05123508,NA,NA
NCT03425006,NA,NA
NCT03447262,NA,NA
NCT03564145,NA,NA
NCT03740100,NA,NA
NCT03827213,NA,NA
NCT02524275,NA,NA
NCT03531112,NA,NA
NCT04095858,NA,NA
NCT04274192,NA,NA
NCT04396626,NA,NA
NCT05129163,NA,NA
NCT02341625,NA,NA
NCT03255083,NA,NA
NCT03805841,NA,NA
NCT04479436,NA,NA
NCT04920929,NA,NA
NCT04943627,NA,NA
NCT02734719,NA,NA
NCT03137771,2023-12-06,ACTIVE_NOT_RECRUITING
NCT04040621,NA,NA
NCT04432272,NA,NA
NCT03361189,NA,NA
NCT02687360,NA,NA
NCT04059159,NA,NA
NCT04159753,NA,NA
NCT04730804,NA,NA
NCT04741204,NA,NA
NCT04982289,NA,NA
NCT03758443,NA,NA
NCT03866200,NA,NA
NCT03920254,NA,NA
NCT04769453,NA,NA
NCT03333031,NA,NA
NCT04498273,NA,NA
NCT03446456,NA,NA
NCT03874325,NA,NA
NCT04248465,NA,NA
NCT04655261,NA,NA
NCT01954576,NA,NA
NCT03462966,NA,NA
NCT03675126,NA,NA
NCT04830007,NA,NA
NCT04956276,NA,NA
NCT03701308,NA,NA
NCT04616560,NA,NA
NCT01464164,NA,NA
NCT03123822,NA,NA
NCT04790916,NA,NA
NCT02625090,NA,NA
NCT03969420,NA,NA
NCT04856475,NA,NA
NCT05127551,2022-12-07,RECRUITING
NCT02239354,NA,NA
NCT03745859,NA,NA
NCT03939169,NA,NA
NCT04116099,NA,NA
NCT04371432,NA,NA
NCT04508621,2023-12-13,COMPLETED
NCT02090998,NA,NA
NCT03333382,NA,NA
NCT04748588,NA,NA
NCT02702115,NA,NA
NCT03113383,NA,NA
NCT04665115,NA,NA
NCT02616185,NA,NA
NCT02859415,NA,NA
NCT02918500,NA,NA
NCT03253809,NA,NA
NCT03380273,NA,NA
NCT03529799,NA,NA
NCT04551482,2022-11-30,RECRUITING
NCT03891381,NA,NA
NCT04247100,NA,NA
NCT04525898,NA,NA
NCT04820842,NA,NA
NCT03531788,NA,NA
NCT03868839,NA,NA
NCT04238390,NA,NA
NCT04783233,NA,NA
NCT04881175,NA,NA
NCT04197713,2023-03-04,ACTIVE_NOT_RECRUITING
NCT05166031,NA,NA
NCT01286038,NA,NA
NCT04015921,NA,NA
NCT04218786,NA,NA
NCT04586920,NA,NA
NCT04877743,NA,NA
NCT05167370,NA,NA
NCT03670628,NA,NA
NCT03712371,NA,NA
NCT03804138,2023-04-13,COMPLETED
NCT04424641,NA,NA
NCT05174728,NA,NA
NCT00591318,NA,NA
NCT03273907,NA,NA
NCT03649347,NA,NA
NCT03738423,NA,NA
NCT03829657,NA,NA
NCT04095793,NA,NA
NCT04117295,NA,NA
NCT02513667,NA,NA
NCT02734797,2022-12-20,ACTIVE_NOT_RECRUITING
NCT03122301,NA,NA
NCT03224819,NA,NA
NCT03254927,NA,NA
NCT03762265,NA,NA
NCT03794882,NA,NA
NCT04401410,NA,NA
NCT02658812,NA,NA
NCT03770455,NA,NA
NCT03799523,NA,NA
NCT02393183,NA,NA
NCT03730337,2023-10-02,COMPLETED
NCT03651804,NA,NA
NCT03715153,NA,NA
NCT03715166,NA,NA
NCT04199351,NA,NA
NCT02710279,NA,NA
NCT03489109,NA,NA
NCT03556020,NA,NA
NCT03774914,NA,NA
NCT03795428,NA,NA
NCT03930771,NA,NA
NCT04445103,NA,NA
NCT03743935,NA,NA
NCT04460937,2023-03-16,ACTIVE_NOT_RECRUITING
NCT04529499,NA,NA
NCT01535807,NA,NA
NCT02629796,2023-02-14,COMPLETED
NCT03229382,NA,NA
NCT04096560,NA,NA
NCT05186870,2023-03-02,RECRUITING
NCT02430558,NA,NA
NCT02721979,NA,NA
NCT04095689,2023-03-28,RECRUITING
NCT03581279,NA,NA
NCT03826992,2023-04-18,RECRUITING
NCT04238013,NA,NA
NCT04735185,NA,NA
NCT04249167,NA,NA
NCT05109208,NA,NA
NCT04087512,NA,NA
NCT05193695,NA,NA
NCT02053246,NA,NA
NCT02962973,NA,NA
NCT03289143,NA,NA
NCT04881968,NA,NA
NCT02502318,NA,NA
NCT03759834,NA,NA
NCT03896503,2023-02-17,ACTIVE_NOT_RECRUITING
NCT05023512,NA,NA
NCT02124902,NA,NA
NCT02267863,NA,NA
NCT02269670,NA,NA
NCT02978716,NA,NA
NCT04858152,NA,NA
NCT05056779,NA,NA
NCT03041311,NA,NA
NCT03576131,NA,NA
NCT03674892,NA,NA
NCT03891264,NA,NA
NCT04102111,NA,NA
NCT05183841,2023-12-04,ENROLLING_BY_INVITATION
NCT02567435,2023-03-31,ACTIVE_NOT_RECRUITING
NCT03086889,NA,NA
NCT03361345,NA,NA
NCT01005615,NA,NA
NCT02818894,NA,NA
NCT03151746,NA,NA
NCT03477162,NA,NA
NCT03635112,NA,NA
NCT03843710,NA,NA
NCT04374019,NA,NA
NCT01930123,NA,NA
NCT02661022,NA,NA
NCT03231150,2023-02-24,RECRUITING
NCT04199793,NA,NA
NCT04591002,NA,NA
NCT01722890,NA,NA
NCT01726309,NA,NA
NCT01726322,NA,NA
NCT01741103,NA,NA
NCT01844726,NA,NA
NCT02050737,NA,NA
NCT02050997,NA,NA
NCT02308111,NA,NA
NCT02341287,NA,NA
NCT02816255,NA,NA
NCT02910843,NA,NA
NCT03022578,NA,NA
NCT03698201,NA,NA
NCT03790111,NA,NA
NCT04512261,NA,NA
NCT03308786,NA,NA
NCT03384875,NA,NA
NCT03684343,NA,NA
NCT04760873,NA,NA
NCT03777319,NA,NA
NCT04084990,NA,NA
NCT04809623,NA,NA
NCT00594620,NA,NA
NCT03489746,NA,NA
NCT04326231,NA,NA
NCT03044314,NA,NA
NCT03603964,NA,NA
NCT04046328,NA,NA
NCT04064684,NA,NA
NCT04091113,NA,NA
NCT05100927,NA,NA
NCT01028716,NA,NA
NCT03348163,NA,NA
NCT04354428,NA,NA
NCT04362189,NA,NA
NCT04404712,NA,NA
NCT04489420,NA,NA
NCT04573777,NA,NA
NCT03547869,NA,NA
NCT04094181,NA,NA
NCT04361851,NA,NA
NCT04493320,NA,NA
NCT04650217,NA,NA
NCT04700280,NA,NA
NCT05038020,NA,NA
NCT02546492,NA,NA
NCT02667873,2023-09-15,COMPLETED
NCT03787303,NA,NA
NCT04180813,NA,NA
NCT04647084,NA,NA
NCT05005507,NA,NA
NCT03138369,NA,NA
NCT03435315,NA,NA
NCT04363437,NA,NA
NCT04498377,NA,NA
NCT04508842,NA,NA
NCT03998709,NA,NA
NCT04349124,NA,NA
NCT02178436,2023-11-05,COMPLETED
NCT02482389,NA,NA
NCT03347123,NA,NA
NCT03639610,NA,NA
NCT03782402,NA,NA
NCT04412707,NA,NA
NCT04616651,NA,NA
NCT05098457,NA,NA
NCT03929913,2023-01-13,ACTIVE_NOT_RECRUITING
NCT04056299,NA,NA
NCT04115956,NA,NA
NCT04156659,NA,NA
NCT04799210,NA,NA
NCT05243420,NA,NA
NCT03192345,NA,NA
NCT03711318,NA,NA
NCT04753957,NA,NA
NCT03259165,NA,NA
NCT02248701,NA,NA
NCT04163718,NA,NA
NCT04175886,NA,NA
NCT04634799,NA,NA
NCT04787133,NA,NA
NCT01482286,NA,NA
NCT03624790,NA,NA
NCT04375514,NA,NA
NCT04551157,NA,NA
NCT05244265,NA,NA
NCT00482157,NA,NA
NCT02375802,2023-10-10,ENROLLING_BY_INVITATION
NCT02659202,2023-02-13,ACTIVE_NOT_RECRUITING
