nctid,restart_date,restart_status
NCT03150797,NA,NA
NCT03558672,NA,NA
NCT04370834,NA,NA
NCT04507100,NA,NA
NCT02728284,NA,NA
NCT02728336,NA,NA
NCT02741180,NA,NA
NCT03809039,NA,NA
NCT04415073,NA,NA
NCT03431337,NA,NA
NCT00606463,NA,NA
NCT02184520,NA,NA
NCT04143958,NA,NA
NCT04435808,NA,NA
NCT02992418,NA,NA
NCT03178201,NA,NA
NCT03194581,NA,NA
NCT03404310,NA,NA
NCT04266353,NA,NA
NCT02122757,NA,NA
NCT04067544,NA,NA
NCT04192110,NA,NA
NCT04320290,NA,NA
NCT04353648,NA,NA
NCT03425799,NA,NA
NCT03605693,NA,NA
NCT03726996,NA,NA
NCT04011592,NA,NA
NCT02478138,NA,NA
NCT02540330,NA,NA
NCT02612194,NA,NA
NCT02629029,NA,NA
NCT02964325,NA,NA
NCT03540160,NA,NA
NCT03738384,NA,NA
NCT03251495,2023-06-01,RECRUITING
NCT03686514,NA,NA
NCT02388165,NA,NA
NCT02905981,NA,NA
NCT02929589,NA,NA
NCT03605745,NA,NA
NCT03862170,NA,NA
NCT03120910,NA,NA
NCT03517566,NA,NA
NCT04353271,NA,NA
NCT01391520,NA,NA
NCT02422667,NA,NA
NCT02608125,NA,NA
NCT02872467,2023-04-14,COMPLETED
NCT03507127,NA,NA
NCT03529162,NA,NA
NCT03538015,NA,NA
NCT03858933,NA,NA
NCT04004325,NA,NA
NCT04275011,NA,NA
NCT04493697,NA,NA
NCT01055067,NA,NA
NCT01951378,NA,NA
NCT02737930,NA,NA
NCT03370302,NA,NA
NCT04522466,NA,NA
NCT01096290,NA,NA
NCT03615508,NA,NA
NCT04438551,NA,NA
NCT02638506,NA,NA
NCT04142554,NA,NA
NCT04227938,NA,NA
NCT04528758,NA,NA
NCT02759120,NA,NA
NCT02810236,2022-12-28,COMPLETED
NCT04374474,NA,NA
NCT04527796,NA,NA
NCT00860379,NA,NA
NCT02975336,NA,NA
NCT03607500,NA,NA
NCT03752242,NA,NA
NCT00586209,NA,NA
NCT01784861,NA,NA
NCT02349633,NA,NA
NCT03436420,NA,NA
NCT02132598,NA,NA
NCT03527550,NA,NA
NCT03547349,NA,NA
NCT03638596,NA,NA
NCT03648619,NA,NA
NCT03829618,NA,NA
NCT04325061,NA,NA
NCT04360135,NA,NA
NCT02429934,NA,NA
NCT02507986,NA,NA
NCT02577367,NA,NA
NCT02608944,NA,NA
NCT02774551,NA,NA
NCT03682367,NA,NA
NCT04130906,NA,NA
NCT04143490,NA,NA
NCT04244825,NA,NA
NCT04300335,NA,NA
NCT04540952,NA,NA
NCT01799889,NA,NA
NCT01937884,NA,NA
NCT02420652,NA,NA
NCT02432378,NA,NA
NCT03008616,NA,NA
NCT03423537,NA,NA
NCT03523091,NA,NA
NCT03535584,NA,NA
NCT03768726,NA,NA
NCT03909867,NA,NA
NCT04377165,NA,NA
NCT01113658,NA,NA
NCT01349894,NA,NA
NCT01417208,NA,NA
NCT01623882,NA,NA
NCT03120793,NA,NA
NCT03615924,NA,NA
NCT03862027,NA,NA
NCT04013763,NA,NA
NCT04073407,NA,NA
NCT02434874,NA,NA
NCT03151408,NA,NA
NCT03088735,NA,NA
NCT03979066,NA,NA
NCT03988842,NA,NA
NCT01030471,NA,NA
NCT02499627,NA,NA
NCT02664077,NA,NA
NCT03811951,NA,NA
NCT03919214,NA,NA
NCT04091594,NA,NA
NCT04269317,NA,NA
NCT01495247,NA,NA
NCT03179605,NA,NA
NCT03192995,NA,NA
NCT03328741,NA,NA
NCT03760250,NA,NA
NCT04062383,NA,NA
NCT04394286,NA,NA
NCT02648932,NA,NA
NCT02936206,NA,NA
NCT03566823,NA,NA
NCT04548622,NA,NA
NCT03212963,NA,NA
NCT02817113,NA,NA
NCT02923232,NA,NA
NCT04008602,NA,NA
NCT02925364,NA,NA
NCT03017287,NA,NA
NCT03405090,2023-04-11,COMPLETED
NCT03559517,NA,NA
NCT03767829,NA,NA
NCT03790774,NA,NA
NCT03860753,NA,NA
NCT04077385,NA,NA
NCT03621787,NA,NA
NCT03704285,NA,NA
NCT03705338,NA,NA
NCT04558892,NA,NA
NCT01239160,NA,NA
NCT03171051,NA,NA
NCT03332355,NA,NA
NCT03447730,NA,NA
NCT03721796,NA,NA
NCT03960242,NA,NA
NCT04421664,NA,NA
NCT01663766,NA,NA
NCT02161679,NA,NA
NCT02267772,NA,NA
NCT03304184,NA,NA
NCT03379558,NA,NA
NCT03626623,NA,NA
NCT03712930,NA,NA
NCT03932656,NA,NA
NCT04293978,NA,NA
NCT03598140,NA,NA
NCT01930175,NA,NA
NCT02563015,NA,NA
NCT03435042,2023-06-29,RECRUITING
NCT03925428,NA,NA
NCT04042623,NA,NA
NCT04116359,NA,NA
NCT01675154,NA,NA
NCT01831596,NA,NA
NCT02764164,NA,NA
NCT04365582,NA,NA
NCT04480879,NA,NA
NCT02240706,NA,NA
NCT03277612,NA,NA
NCT03452527,NA,NA
NCT04379492,NA,NA
NCT03333694,NA,NA
NCT00969956,NA,NA
NCT00991315,NA,NA
NCT03219866,NA,NA
NCT03285308,NA,NA
NCT03426345,NA,NA
NCT03741803,NA,NA
NCT02557945,NA,NA
NCT02933073,NA,NA
NCT03234465,NA,NA
NCT03462576,NA,NA
NCT03744663,NA,NA
NCT03806023,NA,NA
NCT00576225,NA,NA
NCT02387164,NA,NA
NCT03004001,NA,NA
NCT03265951,NA,NA
NCT02232477,NA,NA
NCT04015219,NA,NA
NCT04081584,NA,NA
NCT04081623,NA,NA
NCT04254172,NA,NA
NCT04447729,NA,NA
NCT00515528,NA,NA
NCT03025425,NA,NA
NCT03383146,NA,NA
NCT03420781,NA,NA
NCT03441334,NA,NA
NCT03518996,NA,NA
NCT03529916,NA,NA
NCT03630081,2022-12-01,NOT_YET_RECRUITING
NCT03883607,NA,NA
NCT03963492,NA,NA
NCT04060693,NA,NA
NCT04258020,NA,NA
NCT02036502,NA,NA
NCT03315143,NA,NA
NCT03389893,NA,NA
NCT03521934,NA,NA
NCT03827564,NA,NA
NCT04089761,NA,NA
NCT04311112,NA,NA
NCT01244191,NA,NA
NCT02152670,NA,NA
NCT02438371,NA,NA
NCT03786380,NA,NA
NCT03947814,NA,NA
NCT02907918,NA,NA
NCT03636373,NA,NA
NCT03886493,NA,NA
NCT04129320,NA,NA
NCT03604523,NA,NA
NCT03763175,NA,NA
NCT04585022,NA,NA
NCT02611128,NA,NA
NCT02687815,NA,NA
NCT03122470,NA,NA
NCT03259308,NA,NA
NCT03342859,NA,NA
NCT04462757,NA,NA
NCT03796416,NA,NA
NCT04058301,NA,NA
NCT02363647,NA,NA
NCT02595996,NA,NA
NCT03264092,NA,NA
NCT03567694,NA,NA
NCT02354144,NA,NA
NCT03259425,NA,NA
NCT03273257,NA,NA
NCT03682055,NA,NA
NCT03800420,NA,NA
NCT04106050,NA,NA
NCT02930122,NA,NA
NCT03376321,NA,NA
NCT03397394,NA,NA
NCT03508427,NA,NA
NCT02022735,NA,NA
NCT03197025,NA,NA
NCT03344562,NA,NA
NCT03373877,NA,NA
NCT03557684,NA,NA
NCT04133480,NA,NA
NCT04290962,NA,NA
NCT04600648,NA,NA
NCT03603080,NA,NA
NCT02595918,NA,NA
NCT03219372,NA,NA
NCT03923010,NA,NA
NCT00058188,NA,NA
NCT02243397,NA,NA
NCT02790736,NA,NA
NCT03499353,NA,NA
NCT03861403,NA,NA
NCT02208271,NA,NA
NCT02530502,2023-11-13,ACTIVE_NOT_RECRUITING
